t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper,angularVelocity_y, inertia_y
2.870783,-0.2979829,0,-1.016471,-0.01163361,0,-0.4169369,0,0,0,0,-1.041411,-0.2332252,-0.5796787, 0.0634
2.890783,-0.2981743,0,-1.024813,-0.01011116,0,-0.4170631,0,0,0,0,-1.046074,-0.2331748,-0.5796701, 0.0634
2.910784,-0.298335,0,-1.033157,-0.008583912,0,-0.4171717,0,0,0,0,-1.050737,-0.2331313,-0.5796616, 0.0634
2.930784,-0.2984654,0,-1.041503,-0.007064621,0,-0.4172575,0,0,0,0,-1.055399,-0.233097,-0.5796593, 0.0634
2.950783,-0.2985651,0,-1.04985,-0.005535351,0,-0.4173323,0,0,0,0,-1.06006,-0.2330671,-0.5796486, 0.0634
2.970783,-0.2986344,0,-1.058198,-0.004009966,0,-0.417385,0,0,0,0,-1.064721,-0.233046,-0.5796435, 0.0634
2.990784,-0.2986732,0,-1.066546,-0.002484234,0,-0.4174209,0,0,0,0,-1.069381,-0.2330317,-0.5796373, 0.0634
3.010784,-0.2986813,0,-1.074895,-0.0009560494,0,-0.4174388,0,0,0,0,-1.074042,-0.2330245,-0.5796314, 0.0634
3.030783,-0.298659,0,-1.083244,0.0005694095,0,-0.4174403,0,0,0,0,-1.078702,-0.2330239,-0.579624, 0.0634
3.050783,-0.2986062,0,-1.091592,0.002094829,0,-0.4174203,0,0,0,0,-1.083363,-0.2330319,-0.5796215, 0.0634
3.070784,-0.2985228,0,-1.099939,0.00362394,0,-0.4173875,0,0,0,0,-1.088024,-0.233045,-0.5796124, 0.0634
3.090784,-0.2984089,0,-1.108286,0.005148501,0,-0.4173341,0,0,0,0,-1.092686,-0.2330664,-0.5796074, 0.0634
3.110783,-0.2982644,0,-1.11663,0.006676514,0,-0.4172669,0,0,0,0,-1.097348,-0.2330932,-0.5795968, 0.0634
3.130783,-0.2980895,0,-1.124973,0.008200443,0,-0.4171783,0,0,0,0,-1.102011,-0.2331287,-0.5795916, 0.0634
3.150784,-0.2978841,0,-1.133314,0.009722528,0,-0.4170718,0,0,0,0,-1.106674,-0.2331713,-0.5795867, 0.0634
3.170784,-0.2976484,0,-1.141652,0.01124305,0,-0.4169494,0,0,0,0,-1.111339,-0.2332203,-0.5795795, 0.0634
3.190783,-0.2973822,0,-1.149987,0.01276554,0,-0.4168093,0,0,0,0,-1.116005,-0.2332763,-0.579572, 0.0634
3.210783,-0.2970858,0,-1.158318,0.01428137,0,-0.4166492,0,0,0,0,-1.120672,-0.2333403,-0.5795683, 0.0634
3.230783,-0.2967588,0,-1.166646,0.01580277,0,-0.4164755,0,0,0,0,-1.125341,-0.2334098,-0.5795581, 0.0634
3.250784,-0.2964017,0,-1.17497,0.01731264,0,-0.4162803,0,0,0,0,-1.130012,-0.2334879,-0.5795547, 0.0634
3.270784,-0.2960144,0,-1.18329,0.01882629,0,-0.4160715,0,0,0,0,-1.134684,-0.2335714,-0.579545, 0.0634
3.290783,-0.2955969,0,-1.191605,0.02033474,0,-0.4158411,0,0,0,0,-1.139358,-0.2336636,-0.5795413, 0.0634
3.310783,-0.2951493,0,-1.199915,0.02184246,0,-0.4155964,0,0,0,0,-1.144034,-0.2337615,-0.579533, 0.0634
3.330784,-0.2946717,0,-1.20822,0.02334642,0,-0.415334,0,0,0,0,-1.148712,-0.2338664,-0.5795251, 0.0634
3.350784,-0.2941639,0,-1.216519,0.02484815,0,-0.4150524,0,0,0,0,-1.153392,-0.2339791,-0.5795193, 0.0634
3.370783,-0.2936264,0,-1.224812,0.02634139,0,-0.4147525,0,0,0,0,-1.158075,-0.234099,-0.5795161, 0.0634
3.390783,-0.2930589,0,-1.233098,0.02783858,0,-0.4144383,0,0,0,0,-1.16276,-0.2342247,-0.5795069, 0.0634
3.410784,-0.2924619,0,-1.241377,0.02932454,0,-0.4141047,0,0,0,0,-1.167449,-0.2343582,-0.5795026, 0.0634
3.430784,-0.2918349,0,-1.24965,0.03081391,0,-0.4137554,0,0,0,0,-1.17214,-0.2344979,-0.5794941, 0.0634
3.450783,-0.2911785,0,-1.257915,0.03229345,0,-0.4133886,0,0,0,0,-1.176834,-0.2346446,-0.5794878, 0.0634
3.470783,-0.2904925,0,-1.266172,0.03377046,0,-0.413003,0,0,0,0,-1.181531,-0.2347988,-0.579483, 0.0634
3.490784,-0.2897771,0,-1.274421,0.03524493,0,-0.412604,0,0,0,0,-1.186231,-0.2349584,-0.5794725, 0.0634
3.510784,-0.2890325,0,-1.282662,0.03670983,0,-0.4121848,0,0,0,0,-1.190935,-0.2351261,-0.5794681, 0.0634
3.530783,-0.2882585,0,-1.290893,0.03817623,0,-0.4117487,0,0,0,0,-1.195642,-0.2353006,-0.5794612, 0.0634
3.550783,-0.2874555,0,-1.299116,0.03963076,0,-0.4112974,0,0,0,0,-1.200353,-0.2354811,-0.5794546, 0.0634
3.570784,-0.2866234,0,-1.307329,0.04108616,0,-0.4108274,0,0,0,0,-1.205068,-0.2356691,-0.5794479, 0.0634
3.590784,-0.2857625,0,-1.315532,0.04252864,0,-0.4103417,0,0,0,0,-1.209787,-0.2358634,-0.5794428, 0.0634
3.610783,-0.2848728,0,-1.323725,0.04397304,0,-0.4098403,0,0,0,0,-1.214509,-0.2360639,-0.5794331, 0.0634
3.630783,-0.2839544,0,-1.331908,0.0454075,0,-0.4093205,0,0,0,0,-1.219236,-0.2362718,-0.5794274, 0.0634
3.650784,-0.2830075,0,-1.34008,0.04683579,0,-0.4087839,0,0,0,0,-1.223968,-0.2364865,-0.5794221, 0.0634
3.670784,-0.2820322,0,-1.34824,0.04825832,0,-0.4082321,0,0,0,0,-1.228704,-0.2367072,-0.5794147, 0.0634
3.690783,-0.2810286,0,-1.356389,0.04967368,0,-0.4076626,0,0,0,0,-1.233444,-0.236935,-0.5794093, 0.0634
3.710783,-0.279997,0,-1.364526,0.05108225,0,-0.4070775,0,0,0,0,-1.238189,-0.237169,-0.579403, 0.0634
3.730783,-0.2789373,0,-1.372651,0.05248524,0,-0.4064761,0,0,0,0,-1.242939,-0.2374096,-0.5793961, 0.0634
3.750784,-0.2778497,0,-1.380764,0.05388229,0,-0.4058591,0,0,0,0,-1.247694,-0.2376564,-0.5793877, 0.0634
3.770782,-0.2767345,0,-1.388864,0.05526768,0,-0.4052233,0,0,0,0,-1.252454,-0.2379107,-0.5793851, 0.0634
3.790783,-0.2755916,0,-1.396951,0.05665139,0,-0.404578,0,0,0,0,-1.257219,-0.2381688,-0.5793712, 0.0634
3.810783,-0.2744214,0,-1.405024,0.05802151,0,-0.4039079,0,0,0,0,-1.26199,-0.2384369,-0.5793715, 0.0634
3.830784,-0.273224,0,-1.413083,0.05938663,0,-0.4032283,0,0,0,0,-1.266766,-0.2387087,-0.5793626, 0.0634
3.850782,-0.2719994,0,-1.421129,0.06074497,0,-0.4025297,0,0,0,0,-1.271548,-0.2389881,-0.5793566, 0.0634
3.870783,-0.2707481,0,-1.42916,0.06209162,0,-0.4018183,0,0,0,0,-1.276336,-0.2392727,-0.5793495, 0.0634
3.890783,-0.2694699,0,-1.437176,0.06343357,0,-0.4010881,0,0,0,0,-1.281129,-0.2395648,-0.5793439, 0.0634
3.910784,-0.2681651,0,-1.445178,0.06476482,0,-0.4003458,0,0,0,0,-1.285928,-0.2398617,-0.5793357, 0.0634
3.930782,-0.2668339,0,-1.453164,0.06608877,0,-0.3995846,0,0,0,0,-1.290734,-0.2401662,-0.5793307, 0.0634
3.950783,-0.2654766,0,-1.461134,0.06740218,0,-0.3988112,0,0,0,0,-1.295546,-0.2404756,-0.5793232, 0.0634
3.970783,-0.2640931,0,-1.469089,0.06870907,0,-0.3980206,0,0,0,0,-1.300364,-0.2407918,-0.5793163, 0.0634
3.990784,-0.2626839,0,-1.477028,0.0700026,0,-0.3972179,0,0,0,0,-1.305189,-0.2411129,-0.5793089, 0.0634
4.010784,-0.2612489,0,-1.484949,0.07129137,0,-0.3963957,0,0,0,0,-1.31002,-0.2414418,-0.5793033, 0.0634
4.030783,-0.2597885,0,-1.492855,0.07256433,0,-0.3955618,0,0,0,0,-1.314858,-0.2417753,-0.5792988, 0.0634
4.050783,-0.2583028,0,-1.500743,0.0738341,0,-0.3947124,0,0,0,0,-1.319703,-0.2421151,-0.5792902, 0.0634
4.070784,-0.2567922,0,-1.508613,0.07508908,0,-0.3938483,0,0,0,0,-1.324554,-0.2424607,-0.5792854, 0.0634
4.090784,-0.2552565,0,-1.516466,0.07633741,0,-0.3929698,0,0,0,0,-1.329413,-0.2428121,-0.5792778, 0.0634
4.110783,-0.2536964,0,-1.524301,0.07757187,0,-0.3920773,0,0,0,0,-1.334279,-0.2431691,-0.5792726, 0.0634
4.130783,-0.2521116,0,-1.532118,0.07880076,0,-0.391169,0,0,0,0,-1.339152,-0.2435325,-0.5792652, 0.0634
4.150784,-0.2505027,0,-1.539916,0.08001444,0,-0.3902484,0,0,0,0,-1.344033,-0.2439007,-0.5792596, 0.0634
4.170784,-0.2488698,0,-1.547696,0.08121829,0,-0.3893137,0,0,0,0,-1.348921,-0.2442746,-0.5792533, 0.0634
4.190783,-0.247213,0,-1.555456,0.08241595,0,-0.388364,0,0,0,0,-1.353817,-0.2446544,-0.5792443, 0.0634
4.210783,-0.2455327,0,-1.563197,0.08359563,0,-0.3874007,0,0,0,0,-1.358721,-0.2450398,-0.5792409, 0.0634
4.230783,-0.243829,0,-1.570919,0.08476868,0,-0.3864262,0,0,0,0,-1.363632,-0.2454296,-0.579231, 0.0634
4.250784,-0.2421023,0,-1.57862,0.08592632,0,-0.3854361,0,0,0,0,-1.368552,-0.2458256,-0.5792267, 0.0634
4.270782,-0.2403526,0,-1.586301,0.08707792,0,-0.3844323,0,0,0,0,-1.373479,-0.2462271,-0.579218, 0.0634
4.290783,-0.2385803,0,-1.593962,0.08821245,0,-0.3834147,0,0,0,0,-1.378415,-0.2466342,-0.5792146, 0.0634
4.310783,-0.2367856,0,-1.601603,0.08933852,0,-0.3823861,0,0,0,0,-1.383359,-0.2470456,-0.579206, 0.0634
4.330784,-0.2349687,0,-1.609222,0.09045021,0,-0.3813443,0,0,0,0,-1.388311,-0.2474623,-0.5791999, 0.0634
4.350782,-0.2331299,0,-1.61682,0.09155197,0,-0.3802887,0,0,0,0,-1.393272,-0.2478845,-0.5791926, 0.0634
4.370783,-0.2312694,0,-1.624397,0.09264098,0,-0.3792213,0,0,0,0,-1.398241,-0.2483115,-0.5791851, 0.0634
4.390783,-0.2293875,0,-1.631952,0.09371562,0,-0.3781406,0,0,0,0,-1.403219,-0.2487438,-0.5791799, 0.0634
4.410784,-0.2274844,0,-1.639485,0.09477834,0,-0.3770464,0,0,0,0,-1.408206,-0.2491815,-0.5791752, 0.0634
4.430782,-0.2255604,0,-1.646996,0.09582992,0,-0.3759429,0,0,0,0,-1.413202,-0.2496229,-0.5791662, 0.0634
4.450783,-0.2236157,0,-1.654484,0.09686702,0,-0.3748259,0,0,0,0,-1.418206,-0.2500697,-0.5791602, 0.0634
4.470783,-0.2216507,0,-1.66195,0.09789157,0,-0.3736963,0,0,0,0,-1.42322,-0.2505215,-0.5791542, 0.0634
4.490784,-0.2196655,0,-1.669393,0.09890366,0,-0.3725552,0,0,0,0,-1.428243,-0.2509779,-0.5791473, 0.0634
