t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper,,p_wagen,p_bumper,p_total,,kinE_wagen,kinE_bumper,kinE_total
4.019999,0,0,0.2582722,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.039999,0,0,0.2668403,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.059999,0,0,0.2754084,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.079998,0,0,0.2839766,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.099998,0,0,0.2925447,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.119998,0,0,0.3011129,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.139998,0,0,0.309681,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.159998,0,0,0.3182491,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.179998,0,0,0.3268173,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.199998,0,0,0.3353854,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.219998,0,0,0.3439535,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.239998,0,0,0.3525217,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
4.259998,0,0,0.3610898,0,0,0.4284066,0,0,0,0,-0.8456995,0,,0.17136264,0,0.17136264,,0.036706443,0,0.036706443
