t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper
3.281372,0,0,0.5685812,0,0,0.6041452,0,0,0.1185812,2.371623,-0.8,0
3.301392,0,0,0.5782924,0,0,0.4855641,0,0,0.1282924,2.565849,-0.8,0
3.321381,0,0,0.5854378,0,0,0.3572717,0,0,0.1354378,2.708757,-0.8,0
3.3414,0,0,0.5898745,0,0,0.2218339,0,0,0.1398745,2.79749,-0.8,0
3.361389,0,0,0.5915137,0,0,0.08195946,0,0,0.1415137,2.830274,-0.8,0
3.381378,0,0,0.5903226,0,0,-0.05955417,0,0,0.1403226,2.806452,-0.8,0
3.401398,0,0,0.5863251,0,0,-0.1998767,0,0,0.1363251,2.726502,-0.8,0
3.421387,0,0,0.579601,0,0,-0.3362018,0,0,0.129601,2.592021,-0.8,0
3.441376,0,0,0.570285,0,0,-0.4658028,0,0,0.120285,2.4057,-0.8,0
3.461395,0,0,0.5585633,0,0,-0.5860878,0,0,0.1085633,2.171266,-0.8,0
3.481384,0,0,0.5446703,0,0,-0.694651,0,0,0.09467028,1.893406,-0.8,0
3.501373,0,0,0.5288839,0,0,-0.7893212,0,0,0.07888387,1.577677,-0.8,0
3.521393,0,0,0.5115198,0,0,-0.8682051,0,0,0.06151979,1.230396,-0.8,0
3.541382,0,0,0.4929253,0,0,-0.9297248,0,0,0.04292528,0.8585057,-0.8,0
3.561371,0,0,0.4734723,0,0,-0.9726501,0,0,0.02347229,0.4694459,-0.8,0
3.58139,0,0,0.4535499,0,0,-0.9961224,0,0,0.003549859,0.07099718,-0.8,0
3.601379,0,0,0.4335564,0,0,-0.9996722,0,0,0,0,-0.8,0
3.621399,0,0,0.413563,0,0,-0.9996722,0,0,0,0,-0.8,0
3.641388,0,0,0.3935696,0,0,-0.9996722,0,0,0,0,-0.8,0
3.661377,0,0,0.3735762,0,0,-0.9996722,0,0,0,0,-0.8,0
3.681396,0,0,0.3535827,0,0,-0.9996722,0,0,0,0,-0.8,0
3.701385,0,0,0.3335893,0,0,-0.9996722,0,0,0,0,-0.8,0
3.721375,0,0,0.3135959,0,0,-0.9996722,0,0,0,0,-0.8,0
3.741394,0,0,0.2936025,0,0,-0.9996722,0,0,0,0,-0.8,0
3.761383,0,0,0.273609,0,0,-0.9996722,0,0,0,0,-0.8,0
3.781372,0,0,0.2536156,0,0,-0.9996722,0,0,0,0,-0.8,0
3.801392,0,0,0.2336222,0,0,-0.9996722,0,0,0,0,-0.8,0
3.821381,0,0,0.2136287,0,0,-0.9996722,0,0,0,0,-0.8,0
3.8414,0,0,0.1936353,0,0,-0.9996722,0,0,0,0,-0.8,0
3.861389,0,0,0.1736419,0,0,-0.9996722,0,0,0,0,-0.8,0
3.881378,0,0,0.1536484,0,0,-0.9996722,0,0,0,0,-0.8,0
3.901398,0,0,0.133655,0,0,-0.9996722,0,0,0,0,-0.8,0
3.921387,0,0,0.1136615,0,0,-0.9996722,0,0,0,0,-0.8,0
3.941376,0,0,0.0936681,0,0,-0.9996722,0,0,0,0,-0.8,0
3.961395,0,0,0.07367466,0,0,-0.9996722,0,0,0,0,-0.8,0
3.981384,0,0,0.05368122,0,0,-0.9996722,0,0,0,0,-0.8,0
4.001373,0,0,0.03368779,0,0,-0.9996722,0,0,0,0,-0.8,0
4.021393,0,0,0.01369435,0,0,-0.9996722,0,0,0,0,-0.8,0
4.041382,0,0,-0.00629909,0,0,-0.9996722,0,0,0,0,-0.8,0
4.061371,0,0,-0.02629253,0,0,-0.9996722,0,0,0,0,-0.8,0
4.08139,0,0,-0.04628596,0,0,-0.9996722,0,0,0,0,-0.8,0
4.101379,0,0,-0.0662794,0,0,-0.9996722,0,0,0,0,-0.8,0
4.121399,0,0,-0.08627284,0,0,-0.9996722,0,0,0,0,-0.8,0
4.141388,0,0,-0.1062663,0,0,-0.9996722,0,0,0,0,-0.8,0
4.161377,0,0,-0.1262597,0,0,-0.9996722,0,0,0,0,-0.8,0
4.181396,0,0,-0.1462532,0,0,-0.9996722,0,0,0,0,-0.8,0
4.201385,0,0,-0.1662466,0,0,-0.9996722,0,0,0,0,-0.8,0
4.221375,0,0,-0.18624,0,0,-0.9996722,0,0,0,0,-0.8,0
4.241394,0,0,-0.2062335,0,0,-0.9996722,0,0,0,0,-0.8,0
4.261383,0,0,-0.2262269,0,0,-0.9996722,0,0,0,0,-0.8,0
4.281372,0,0,-0.2462204,0,0,-0.9996722,0,0,0,0,-0.8,0
4.301392,0,0,-0.2662138,0,0,-0.9996722,0,0,0,0,-0.8,0
4.321381,0,0,-0.2862072,0,0,-0.9996722,0,0,0,0,-0.8,0
4.3414,0,0,-0.3062006,0,0,-0.9996722,0,0,0,0,-0.8,0
4.361389,0,0,-0.326194,0,0,-0.9996722,0,0,0,0,-0.8,0
4.381378,0,0,-0.3461875,0,0,-0.9996722,0,0,0,0,-0.8,0
4.401398,0,0,-0.3661809,0,0,-0.9996722,0,0,0,0,-0.8,0
4.421387,0,0,-0.3861743,0,0,-0.9996722,0,0,0,0,-0.8,0
4.441376,0,0,-0.4061677,0,0,-0.9996722,0,0,0,0,-0.8,0
4.461395,0,0,-0.4261612,0,0,-0.9996722,0,0,0,0,-0.8,0
4.481384,0,0,-0.4461546,0,0,-0.9996722,0,0,0,0,-0.8,0
4.501373,0,0,-0.466148,0,0,-0.9996722,0.01614802,0.3229603,0,0,-0.8,0
4.521393,0,0,-0.4858185,0,0,-0.9835242,0.0358185,0.71637,0,0,-0.8,0
4.541382,0,0,-0.5047726,0,0,-0.9477057,0.0547726,1.095452,0,0,-0.8,0
4.561371,0,0,-0.5226313,0,0,-0.8929331,0.07263128,1.452626,0,0,-0.8,0
4.58139,0,0,-0.5390373,0,0,-0.8203019,0.08903734,1.780747,0,0,-0.8,0
4.601379,0,0,-0.5536627,0,0,-0.7312646,0.1036627,2.073253,0,0,-0.8,0
4.621399,0,0,-0.5662147,0,0,-0.627602,0.1162147,2.324294,0,0,-0.8,0
4.641388,0,0,-0.5764424,0,0,-0.5113873,0.1264424,2.528848,0,0,-0.8,0
4.661377,0,0,-0.5841413,0,0,-0.384945,0.1341413,2.682826,0,0,-0.8,0
4.681396,0,0,-0.5891574,0,0,-0.2508037,0.1391574,2.783148,0,0,-0.8,0
4.701385,0,0,-0.5913903,0,0,-0.1116464,0.1413903,2.827806,0,0,-0.8,0
