t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right
2.970038,0,0,-0.2668338,0,0,-0.5006029,0,0,0,0
2.990038,0,0,-0.2768458,0,0,-0.5006029,0,0,0,0
3.010038,0,0,-0.2868579,0,0,-0.5006029,0,0,0,0
3.030038,0,0,-0.2968699,0,0,-0.5006029,0,0,0,0
3.050038,0,0,-0.306882,0,0,-0.5006029,0,0,0,0
3.070038,0,0,-0.3168941,0,0,-0.5006029,0,0,0,0
3.090038,0,0,-0.3269061,0,0,-0.5006029,0,0,0,0
3.110038,0,0,-0.3369182,0,0,-0.5006029,0,0,0,0
3.130038,0,0,-0.3469302,0,0,-0.5006029,0,0,0,0
3.150038,0,0,-0.3569423,0,0,-0.5006029,0,0,0,0
3.170038,0,0,-0.3669544,0,0,-0.5006029,0,0,0,0
3.190039,0,0,-0.3769664,0,0,-0.5006029,0,0,0,0
3.210039,0,0,-0.3869785,0,0,-0.5006029,0,0,0,0
3.230039,0,0,-0.3969905,0,0,-0.5006029,0,0,0,0
3.250039,0,0,-0.4070026,0,0,-0.5006029,0,0,0,0
3.270039,0,0,-0.4170147,0,0,-0.5006029,0,0,0,0
3.290039,0,0,-0.4270267,0,0,-0.5006029,0,0,0,0
3.310039,0,0,-0.4370388,0,0,-0.5006029,0,0,0,0
3.330039,0,0,-0.4470508,0,0,-0.5006029,0,0,0,0
3.350039,0,0,-0.4570629,0,0,-0.5006029,0.007062897,0.07062897,0,0
3.370039,0,0,-0.4670043,0,0,-0.4970714,0.01700433,0.1700433,0,0
3.390038,0,0,-0.4767757,0,0,-0.4885693,0.0267757,0.267757,0,0
3.410038,0,0,-0.4862793,0,0,-0.4751814,0.03627934,0.3627934,0,0
3.430038,0,0,-0.4954202,0,0,-0.4570418,0.04542015,0.4542015,0,0
3.450038,0,0,-0.5041068,0,0,-0.4343317,0.05410676,0.5410676,0,0
3.470038,0,0,-0.5122523,0,0,-0.4072784,0.06225233,0.6225233,0,0
3.490038,0,0,-0.5197754,0,0,-0.3761522,0.06977539,0.6977539,0,0
3.510038,0,0,-0.5266007,0,0,-0.3412645,0.07660066,0.7660066,0,0
3.530038,0,0,-0.5326599,0,0,-0.3029642,0.08265994,0.8265995,0,0
3.550038,0,0,-0.5378926,0,0,-0.2616343,0.08789264,0.8789264,0,0
3.570038,0,0,-0.5422464,0,0,-0.217688,0.0922464,0.922464,0,0
3.590038,0,0,-0.5456777,0,0,-0.1715648,0.09567772,0.9567772,0,0
3.610038,0,0,-0.5481523,0,0,-0.123726,0.09815226,0.9815227,0,0
3.630038,0,0,-0.5496452,0,0,-0.07464987,0.09964524,0.9964525,0,0
3.650038,0,0,-0.5501418,0,0,-0.02482727,0.1001418,1.001418,0,0
3.670038,0,0,-0.549637,0,0,0.02524362,0.09963696,0.9963696,0,0
3.690038,0,0,-0.5481357,0,0,0.07506207,0.09813569,0.981357,0,0
3.710038,0,0,-0.5456531,0,0,0.1241299,0.0956531,0.956531,0,0
3.730038,0,0,-0.542214,0,0,0.1719564,0.09221397,0.9221398,0,0
3.750038,0,0,-0.5378527,0,0,0.2180634,0.0878527,0.878527,0,0
3.770038,0,0,-0.5326129,0,0,0.2619897,0.08261292,0.8261292,0,0
3.790038,0,0,-0.526547,0,0,0.3032962,0.07654701,0.7654701,0,0
3.810038,0,0,-0.5197156,0,0,0.3415697,0.0697156,0.6971561,0,0
3.830038,0,0,-0.5121871,0,0,0.3764274,0.06218706,0.6218706,0,0
3.850038,0,0,-0.5040367,0,0,0.4075209,0.05403666,0.5403666,0,0
3.870038,0,0,-0.4953459,0,0,0.4345393,0.04534589,0.4534589,0,0
3.890038,0,0,-0.4862016,0,0,0.4572122,0.03620164,0.3620164,0,0
3.910038,0,0,-0.4766954,0,0,0.475313,0.02669539,0.2669539,0,0
3.930038,0,0,-0.4669222,0,0,0.4886607,0.01692216,0.1692216,0,0
3.950038,0,0,-0.4569797,0,0,0.4971218,0.006979719,0.06979719,0,0
3.970038,0,0,-0.4469675,0,0,0.5006117,0,0,0,0
3.990038,0,0,-0.4369552,0,0,0.5006117,0,0,0,0
4.010038,0,0,-0.426943,0,0,0.5006117,0,0,0,0
4.030038,0,0,-0.4169308,0,0,0.5006117,0,0,0,0
4.050038,0,0,-0.4069185,0,0,0.5006117,0,0,0,0
4.070038,0,0,-0.3969063,0,0,0.5006117,0,0,0,0
4.090038,0,0,-0.386894,0,0,0.5006117,0,0,0,0
4.110038,0,0,-0.3768818,0,0,0.5006117,0,0,0,0
4.130038,0,0,-0.3668696,0,0,0.5006117,0,0,0,0
4.150038,0,0,-0.3568573,0,0,0.5006117,0,0,0,0
4.170038,0,0,-0.3468451,0,0,0.5006117,0,0,0,0
4.190038,0,0,-0.3368329,0,0,0.5006117,0,0,0,0
4.210038,0,0,-0.3268206,0,0,0.5006117,0,0,0,0
4.230038,0,0,-0.3168084,0,0,0.5006117,0,0,0,0
4.250038,0,0,-0.3067961,0,0,0.5006117,0,0,0,0
4.270038,0,0,-0.2967839,0,0,0.5006117,0,0,0,0
4.290038,0,0,-0.2867717,0,0,0.5006117,0,0,0,0
4.310038,0,0,-0.2767594,0,0,0.5006117,0,0,0,0
4.330038,0,0,-0.2667472,0,0,0.5006117,0,0,0,0
4.350038,0,0,-0.2567349,0,0,0.5006117,0,0,0,0
4.370038,0,0,-0.2467227,0,0,0.5006117,0,0,0,0
4.390038,0,0,-0.2367105,0,0,0.5006117,0,0,0,0
4.410038,0,0,-0.2266983,0,0,0.5006117,0,0,0,0
4.430038,0,0,-0.216686,0,0,0.5006117,0,0,0,0
4.450038,0,0,-0.2066738,0,0,0.5006117,0,0,0,0
4.470038,0,0,-0.1966616,0,0,0.5006117,0,0,0,0
4.490038,0,0,-0.1866494,0,0,0.5006117,0,0,0,0
4.510038,0,0,-0.1766371,0,0,0.5006117,0,0,0,0
4.530038,0,0,-0.1666249,0,0,0.5006117,0,0,0,0
4.550038,0,0,-0.1566127,0,0,0.5006117,0,0,0,0
4.570038,0,0,-0.1466005,0,0,0.5006117,0,0,0,0
4.590038,0,0,-0.1365882,0,0,0.5006117,0,0,0,0
4.610038,0,0,-0.126576,0,0,0.5006117,0,0,0,0
4.630038,0,0,-0.1165638,0,0,0.5006117,0,0,0,0
4.650038,0,0,-0.1065516,0,0,0.5006117,0,0,0,0
4.670038,0,0,-0.09653933,0,0,0.5006117,0,0,0,0
4.690038,0,0,-0.08652709,0,0,0.5006117,0,0,0,0
4.710038,0,0,-0.07651486,0,0,0.5006117,0,0,0,0
4.730038,0,0,-0.06650263,0,0,0.5006117,0,0,0,0
4.750038,0,0,-0.0564904,0,0,0.5006117,0,0,0,0
4.770038,0,0,-0.04647817,0,0,0.5006117,0,0,0,0
4.790038,0,0,-0.03646595,0,0,0.5006117,0,0,0,0
4.810038,0,0,-0.02645372,0,0,0.5006117,0,0,0,0
4.830038,0,0,-0.01644149,0,0,0.5006117,0,0,0,0
4.850038,0,0,-0.006429262,0,0,0.5006117,0,0,0,0
4.870038,0,0,0.003582967,0,0,0.5006117,0,0,0,0
4.890038,0,0,0.0135952,0,0,0.5006117,0,0,0,0
4.910038,0,0,0.02360743,0,0,0.5006117,0,0,0,0
4.930038,0,0,0.03361965,0,0,0.5006117,0,0,0,0
4.950038,0,0,0.04363188,0,0,0.5006117,0,0,0,0
4.970038,0,0,0.05364411,0,0,0.5006117,0,0,0,0
4.990038,0,0,0.06365634,0,0,0.5006117,0,0,0,0
5.010038,0,0,0.07366857,0,0,0.5006117,0,0,0,0
5.030038,0,0,0.0836808,0,0,0.5006117,0,0,0,0
5.050038,0,0,0.09369303,0,0,0.5006117,0,0,0,0
5.070038,0,0,0.1037053,0,0,0.5006117,0,0,0,0
5.090038,0,0,0.1137175,0,0,0.5006117,0,0,0,0
5.110038,0,0,0.1237297,0,0,0.5006117,0,0,0,0
5.130038,0,0,0.133742,0,0,0.5006117,0,0,0,0
5.150038,0,0,0.1437542,0,0,0.5006117,0,0,0,0
5.170038,0,0,0.1537664,0,0,0.5006117,0,0,0,0
5.190038,0,0,0.1637786,0,0,0.5006117,0,0,0,0
5.210038,0,0,0.1737909,0,0,0.5006117,0,0,0,0
5.230038,0,0,0.1838031,0,0,0.5006117,0,0,0,0
5.250038,0,0,0.1938153,0,0,0.5006117,0,0,0,0
5.270038,0,0,0.2038275,0,0,0.5006117,0,0,0,0
5.290038,0,0,0.2138398,0,0,0.5006117,0,0,0,0
5.310038,0,0,0.223852,0,0,0.5006117,0,0,0,0
5.330038,0,0,0.2338642,0,0,0.5006117,0,0,0,0
5.350038,0,0,0.2438764,0,0,0.5006117,0,0,0,0
5.370038,0,0,0.2538887,0,0,0.5006117,0,0,0,0
5.390038,0,0,0.2639009,0,0,0.5006117,0,0,0,0
5.410038,0,0,0.2739131,0,0,0.5006117,0,0,0,0
5.430037,0,0,0.2839254,0,0,0.5006117,0,0,0,0
5.450037,0,0,0.2939376,0,0,0.5006117,0,0,0,0
5.470037,0,0,0.3039499,0,0,0.5006117,0,0,0,0
5.490037,0,0,0.3139621,0,0,0.5006117,0,0,0,0
5.510037,0,0,0.3239743,0,0,0.5006117,0,0,0,0
5.530037,0,0,0.3339866,0,0,0.5006117,0,0,0,0
5.550037,0,0,0.3439988,0,0,0.5006117,0,0,0,0
5.570037,0,0,0.3540111,0,0,0.5006117,0,0,0,0
5.590038,0,0,0.3640233,0,0,0.5006117,0,0,0,0
5.610038,0,0,0.3740355,0,0,0.5006117,0,0,0,0
5.630038,0,0,0.3840478,0,0,0.5006117,0,0,0,0
5.650038,0,0,0.39406,0,0,0.5006117,0,0,0,0
5.670038,0,0,0.4040723,0,0,0.5006117,0,0,0,0
5.690038,0,0,0.4140845,0,0,0.5006117,0,0,0,0
5.710038,0,0,0.4240967,0,0,0.5006117,0,0,0,0
5.730038,0,0,0.434109,0,0,0.5006117,0,0,0,0
5.750038,0,0,0.4441212,0,0,0.5006117,0,0,0,0
5.770038,0,0,0.4541335,0,0,0.5006117,0,0,0.004133448,0.04133448
5.790038,0,0,0.4641044,0,0,0.4985449,0,0,0.01410435,0.1410435
5.810038,0,0,0.4739342,0,0,0.4914927,0,0,0.0239342,0.239342
5.830038,0,0,0.4835247,0,0,0.4795257,0,0,0.03352471,0.3352471
5.850038,0,0,0.49278,0,0,0.4627633,0,0,0.04277997,0.4277997
5.870038,0,0,0.5016074,0,0,0.4413733,0,0,0.05160742,0.5160742
5.890038,0,0,0.5099188,0,0,0.4155697,0,0,0.05991881,0.5991881
5.910038,0,0,0.517631,0,0,0.3856103,0,0,0.06763099,0.6763099
5.930037,0,0,0.5246669,0,0,0.3517948,0,0,0.0746669,0.7466691
5.950037,0,0,0.5309561,0,0,0.3144614,0,0,0.08095615,0.8095615
5.970037,0,0,0.5364358,0,0,0.2739833,0,0,0.08643584,0.8643584
5.990037,0,0,0.5410511,0,0,0.2307654,0,0,0.09105115,0.9105115
6.010037,0,0,0.5447559,0,0,0.1852399,0,0,0.09475593,0.9475594
